-72.633709,43.38506,286.3
-72.63364,43.38507,286.0
-72.6336,43.38507,285.8
-72.63352,43.38536,285.1
-72.633709,43.38552,288.6
-72.63427,43.38591,290.6
-72.63467,43.38622,288.7
-72.63485,43.3864,292.1
-72.63514,43.38677,298.4
-72.63533,43.38693,300.1
-72.63556,43.38706,299.3
-72.63629,43.38742,299.1
-72.63651,43.38756,301.4
-72.63672,43.38771,304.2
-72.636889,43.38789,306.5
-72.63795,43.38917,316.0
-72.638229,43.38955,317.9
-72.63843,43.38995,321.0
-72.63862,43.39058,323.8
-72.63864,43.3908,326.1
-72.63861,43.39165,332.8
-72.63842,43.39271,339.5
-72.6384,43.392919,339.6
-72.63846,43.39356,344.6
-72.63857,43.39437,347.4
-72.63827,43.3955,358.0
-72.63819,43.39614,367.3
-72.63797,43.39675,365.9
-72.63753,43.39778,366.6
-72.637469,43.39799,364.1
-72.63744,43.398269,364.5
-72.63751,43.39863,363.4
-72.63785,43.399299,357.2
-72.63821,43.40011,353.2
-72.63863,43.40091,347.1
-72.6387,43.40112,343.4
-72.63869,43.40121,341.4
-72.63894,43.40166,335.7
-72.63932,43.402679,333.9
-72.63943,43.4029,335.3
-72.6397,43.40327,337.2
-72.64033,43.40397,344.7
-72.64097,43.404559,349.9
-72.64165,43.40516,351.9
-72.64224,43.40564,353.0
-72.64242,43.40581,354.6
-72.64336,43.4069,359.1
-72.64532,43.40879,359.3
-72.64616,43.40966,359.2
-72.64747,43.41107,359.3
-72.65094,43.415349,353.9
-72.65121,43.41573,354.9
-72.65157,43.41632,354.9
-72.65224,43.41728,353.9
-72.65274,43.418059,356.4
-72.6529,43.41824,357.8
-72.65367,43.4189,357.4
-72.65402,43.41925,357.6
-72.65415,43.41944,357.6
-72.65437,43.41984,360.4
-72.65454,43.42025,363.2
-72.65458,43.42046,363.5
-72.65466,43.42197,358.6
-72.65465,43.4224,358.2
-72.65465,43.42241,358.3
-72.65465,43.4224,358.2
-72.65463,43.42261,358.9
-72.65458,43.42282,359.5
-72.653989,43.42414,356.0
-72.65355,43.425379,362.7
-72.65342,43.426049,360.6
-72.65336,43.42647,360.7
-72.65334,43.42835,354.0
-72.65317,43.43238,357.2
-72.65315,43.43368,361.4
-72.65312,43.43471,359.5
-72.65294,43.43901,361.1
-72.65284,43.44233,366.8
-72.6528,43.44255,367.9
-72.65265,43.44317,373.8
-72.65261,43.4438,373.3
-72.65251,43.44423,374.4
-72.65205,43.4457,377.1
-72.65174,43.44653,380.0
-72.65131,43.44751,380.4
-72.65137,43.44762,380.3
-72.65145,43.447719,380.0
-72.652559,43.44807,373.5
-72.65318,43.4483,371.4
-72.653319,43.4484,371.3
-72.65344,43.44851,371.3
-72.65373,43.44888,372.0
-72.65385,43.44908,374.0
-72.65403,43.44942,377.8
-72.65419,43.44976,380.4
-72.654259,43.45004,380.9
-72.65446,43.45058,381.9
-72.65464,43.45185,385.3
-72.6551,43.453539,389.6
-72.65533,43.45377,391.9
-72.655379,43.45405,392.3
-72.65612,43.45567,399.6
-72.65645,43.45674,404.7
-72.65692,43.45763,408.7
-72.65697,43.457769,407.2
-72.6573,43.45832,410.2
-72.65771,43.45916,413.0
-72.65783,43.45932,413.6
-72.65807,43.45959,416.8
-72.65839,43.45985,422.3
-72.65871,43.460209,426.9
-72.658959,43.46053,431.0
-72.65939,43.461,440.1
-72.66003,43.46162,448.5
-72.66098,43.46276,453.7
-72.66146,43.46334,459.7
-72.66348,43.46511,478.3
-72.66452,43.46664,484.0
-72.66457,43.46708,483.5
-72.66468,43.46729,483.3
-72.66481,43.46772,486.6
-72.66495,43.46798,488.2
-72.66508,43.468089,489.2
-72.66525,43.46815,490.2
-72.66527,43.46815,490.3
-72.66555,43.46893,486.5
-72.66546,43.46914,484.8
-72.66493,43.46937,482.7
-72.66452,43.4697,486.3
-72.66429,43.47027,485.6
-72.66424,43.47106,490.3
-72.66394,43.47161,492.2
-72.66405,43.47328,491.0
-72.66407,43.4736,489.9
-72.66409,43.47429,491.2
-72.66483,43.47412,489.9
-72.66578,43.47398,488.5
-72.66614,43.47385,488.6
-72.66629,43.47376,489.1
-72.66686,43.47336,490.8
-72.66874,43.47232,497.8
-72.66964,43.47189,499.3
-72.67012,43.47164,497.5
-72.67041,43.47144,495.0
-72.67053,43.47133,493.6
-72.67115,43.4706,490.9
-72.67143,43.4704,490.9
-72.67159,43.47031,491.2
-72.67193,43.47017,491.8
-72.67211,43.47012,492.1
-72.67296,43.46996,494.9
-72.6735,43.46988,494.0
-72.67376,43.4699,492.6
-72.67641,43.46999,479.9
-72.67819,43.47001,475.7
-72.67868,43.47003,475.2
-72.67888,43.47005,474.8
-72.67926,43.47014,474.2
-72.68015,43.47043,470.8
-72.68034,43.47048,469.7
-72.680719,43.47054,468.1
-72.68132,43.4706,466.2
-72.68151,43.47064,465.1
-72.68187,43.47076,462.6
-72.68236,43.47101,458.3
-72.68252,43.47108,456.8
-72.68271,43.47113,455.4
-72.68309,43.47117,452.7
-72.683449,43.47117,450.7
-72.683809,43.47097,451.5
-72.68431,43.47063,451.6
-72.68447,43.47054,451.0
-72.68482,43.47042,449.1
-72.6852,43.47034,446.0
-72.68598,43.47027,441.9
-72.68637,43.47023,440.3
-72.68674,43.47014,438.6
-72.68708,43.47,437.0
-72.68785,43.46952,434.0
-72.68803,43.46938,432.7
-72.68813,43.46926,431.9
-72.68836,43.46886,432.5
-72.68849,43.46875,431.9
-72.68883,43.4686,427.9
-72.68899,43.46851,425.7
-72.68926,43.46832,421.3
-72.689629,43.46797,415.0
-72.6898,43.4679,413.0
-72.6899,43.46789,411.8
-72.69001,43.46789,410.5
-72.69019,43.46794,408.1
-72.69034,43.46804,406.3
